timestamp_sec,joint,angle_diff_deg
11.933,left_shoulder,69.89
11.933,right_shoulder,100.95
11.933,left_knee,-50.72
11.933,right_knee,-2.45
12.0,left_elbow,78.83
12.0,right_elbow,-6.26
12.0,left_shoulder,92.74
12.0,right_shoulder,121.22
12.0,left_knee,99.04
12.0,right_knee,-46.63
12.067,left_elbow,36.23
12.067,right_elbow,35.3
12.067,left_shoulder,63.63
12.067,right_shoulder,131.64
12.067,left_knee,10.15
12.067,right_knee,12.7
12.1,left_elbow,56.8
12.1,right_elbow,4.0
12.1,left_shoulder,60.41
12.1,right_shoulder,141.05
12.1,left_knee,17.62
12.1,right_knee,25.5
12.167,left_elbow,-38.42
12.167,right_elbow,3.75
12.167,left_shoulder,30.34
12.167,right_shoulder,91.37
12.167,left_knee,-3.94
12.167,right_knee,23.71
12.333,left_elbow,49.14
12.333,right_elbow,-37.6
12.333,left_shoulder,-26.78
12.333,right_shoulder,-136.29
12.333,left_knee,20.27
12.333,right_knee,7.42
12.4,left_elbow,170.9
12.4,right_elbow,43.38
12.4,left_shoulder,-41.56
12.4,right_shoulder,-139.06
12.4,left_knee,-14.0
12.4,right_knee,4.43
12.433,left_elbow,32.2
12.433,right_elbow,47.76
12.433,left_shoulder,-45.92
12.433,right_shoulder,-136.66
12.433,left_knee,-8.29
12.433,right_knee,11.41
12.5,left_elbow,25.9
12.5,right_elbow,45.38
12.5,left_shoulder,-54.61
12.5,right_shoulder,-141.76
12.5,left_knee,-0.96
12.5,right_knee,4.18
12.567,left_elbow,22.99
12.567,right_elbow,48.74
12.567,left_shoulder,-62.69
12.567,right_shoulder,-145.07
12.567,left_knee,-0.12
12.567,right_knee,4.78
12.6,left_elbow,-148.7
12.6,right_elbow,41.31
12.6,left_shoulder,-37.89
12.6,right_shoulder,-161.28
12.6,left_knee,4.03
12.6,right_knee,2.74
12.667,left_elbow,16.19
12.667,right_elbow,-41.05
12.667,left_shoulder,-70.33
12.667,right_shoulder,-111.82
12.667,left_knee,5.55
12.667,right_knee,9.52
12.833,left_elbow,92.43
12.833,right_elbow,38.8
12.833,left_shoulder,-51.81
12.833,right_shoulder,-87.78
12.833,left_knee,14.17
12.833,right_knee,11.89
12.9,left_elbow,30.02
12.9,right_elbow,3.89
12.9,left_shoulder,-77.09
12.9,right_shoulder,-85.3
12.9,left_knee,10.98
12.9,right_knee,36.83
12.933,left_elbow,17.42
12.933,right_elbow,-17.06
12.933,left_shoulder,-76.49
12.933,right_shoulder,-83.34
12.933,left_knee,10.72
12.933,right_knee,30.05
13.0,left_elbow,8.79
13.0,right_elbow,101.74
13.0,left_shoulder,-49.13
13.0,right_shoulder,-110.23
13.0,left_knee,9.35
13.0,right_knee,40.83
13.033,left_elbow,25.48
13.033,right_elbow,60.73
13.033,left_shoulder,-28.67
13.033,right_shoulder,-86.32
13.033,left_knee,1.52
13.033,right_knee,42.41
13.067,left_elbow,44.81
13.067,right_elbow,-27.65
13.067,left_shoulder,-11.69
13.067,right_shoulder,15.08
13.067,left_knee,3.44
13.067,right_knee,43.81
13.1,left_elbow,19.14
13.1,right_elbow,-83.85
13.1,left_shoulder,7.61
13.1,right_shoulder,-36.31
13.1,left_knee,6.79
13.1,right_knee,35.55
13.133,left_elbow,-39.32
13.133,right_elbow,-53.38
13.133,left_shoulder,6.94
13.133,right_shoulder,-8.17
13.133,left_knee,8.3
13.133,right_knee,28.28
13.167,left_elbow,-49.99
13.167,right_elbow,-72.64
13.167,left_shoulder,9.97
13.167,right_shoulder,-22.77
13.167,left_knee,5.39
13.167,right_knee,-21.01
13.2,left_elbow,-47.32
13.2,right_elbow,-112.06
13.2,left_shoulder,-1.93
13.2,right_shoulder,-51.59
13.2,left_knee,3.17
13.2,right_knee,-33.49
13.233,left_elbow,-64.82
13.233,right_elbow,-110.76
13.233,left_shoulder,-16.63
13.233,right_shoulder,-54.55
13.233,left_knee,-5.61
13.233,right_knee,-22.82
13.267,left_elbow,-87.23
13.267,right_elbow,-55.21
13.267,left_shoulder,-41.91
13.267,right_shoulder,-72.23
13.267,left_knee,-33.55
13.267,right_knee,-0.76
13.3,left_elbow,-103.88
13.3,right_elbow,-92.49
13.3,left_shoulder,-37.27
13.3,right_shoulder,-56.6
13.3,left_knee,-47.02
13.3,right_knee,9.82
13.333,left_elbow,-133.69
13.333,right_elbow,-106.13
13.333,left_shoulder,-13.03
13.333,right_shoulder,-52.13
13.333,left_knee,-53.55
13.333,right_knee,16.6
13.367,left_elbow,-141.71
13.367,right_elbow,-129.98
13.367,left_shoulder,-3.45
13.367,right_shoulder,-46.97
13.367,left_knee,-40.24
13.367,right_knee,39.44
13.4,left_elbow,-142.24
13.4,right_elbow,-115.19
13.4,left_shoulder,-1.54
